temperature,ResidenceTime,eqEster,eqAmmonia,peakArea
120.0,2.0,2.0,4.0,0.0
50.0,12.0,3.5,4.0,1.0
80.0,12.0,2.5,13.0,2.0
50.0,2.0,3.0,4.0,3.0
30.0,12.0,5.0,13.0,4.0
100.0,12.0,6.0,6.0,5.0
140.0,12.0,2.0,10.0,6.0
50.0,2.0,4.0,6.0,7.0
140.0,7.0,4.0,15.0,8.0
50.0,2.0,4.0,9.0,9.0
30.0,22.0,5.5,16.0,10.0
30.0,12.0,2.0,4.0,10.0
30.0,22.0,2.0,4.0,10.0
50.0,2.0,2.0,4.0,10.0
140.0,2.0,6.0,16.0,10.0
30.0,22.0,2.0,16.0,10.0
30.0,2.0,6.0,16.0,10.0
30.0,2.0,6.0,4.0,10.0
30.0,2.0,2.0,16.0,10.0
100.0,17.0,6.0,16.0,10.0
