temperature,ResidenceTime,eqEster,eqAmmonia,peakArea
140.0,3.0,6.0,12.0,2.3
75.0,5.0,5.75,16.0,2.3
130.0,16.0,2.0,10.0,2.3
105.0,17.0,3.25,10.0,2.3
115.0,14.0,3.5,15.0,2.3
45.0,17.0,2.0,8.0,2.3
105.0,3.0,3.0,10.0,2.3
50.0,6.0,3.75,11.5,2.3
120.0,10.0,2.25,6.5,2.3
120.0,7.0,6.0,7.0,2.3
140.0,3.0,6.0,12.0,2.3
75.0,5.0,5.75,16.0,2.3
130.0,16.0,2.0,10.0,2.3
105.0,17.0,3.25,10.0,2.3
115.0,14.0,3.5,15.0,2.3
45.0,17.0,2.0,8.0,2.3
105.0,3.0,3.0,10.0,2.3
50.0,6.0,3.75,11.5,2.3
120.0,10.0,2.25,6.5,2.3
120.0,7.0,6.0,7.0,2.3
